RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav
0.022,0.001,0.085,1,0.0901205,5.49,0.136248,39,0,605,296,29,65,109,217,109,204,26,204,179,31,179,-82,152,-82,4,30,4,0,0,60,60,36,36,39,39,0,0,0,0,0,0,15,15,36,36,49,49,15,15,19,24,19,0,0,427,427,0.191,0.191,11.219,11.214,0,0,1152,1200,523,522,100,100,0.055867,90.2185,948
0.022,0.001,0.085,1,0.0901205,5.49,0.136248,39,0,605,296,29,65,109,217,109,204,26,204,179,31,179,-82,152,-82,4,30,4,0,0,60,60,36,36,39,39,0,0,0,0,0,0,15,15,36,36,49,49,15,15,19,24,19,0,0,427,427,0.191,0.191,11.219,11.214,0,0,1152,1200,523,522,100,100,0.055867,90.2185,948
0.022,0.001,0.085,1,0.0901205,5.49,0.136248,39,0,605,296,29,65,109,217,109,204,26,204,179,31,179,-82,152,-82,4,30,4,0,0,60,60,36,36,39,39,0,0,0,0,0,0,15,15,36,36,49,49,15,15,19,24,19,0,0,427,427,0.191,0.191,11.219,11.214,0,0,1152,1200,523,522,100,100,0.055867,90.2185,948
86.247,16.013,171.226,6,1.98533,12.3,96.976,79,486,632,341,47,26,101,231,56,203,28,1007,179,31,423,-81,157,-1,3,25,29,28,63,36,7,64,28,32,7,0,0,0,0,0,13,15,12,36,43,49,45,21,74,19,25,63,0,3,377,3064,0.801,199.545,19.92,21.079,0,1,2676,700,1287,217,231,61,0.055867,11533.8,948
86.247,16.013,171.226,6,1.98533,12.3,96.976,79,486,632,341,47,26,101,231,56,203,28,1007,179,31,423,-81,157,-1,3,25,29,28,63,36,7,64,28,32,7,0,0,0,0,0,13,15,12,36,43,49,45,21,74,19,25,63,0,3,377,3064,0.801,199.545,19.92,21.079,0,1,2676,700,1287,217,231,61,0.055867,11533.8,948
86.247,16.013,171.226,6,1.98533,12.3,96.976,79,486,632,341,47,26,101,231,56,203,28,1007,179,31,423,-81,157,-1,3,25,29,28,63,36,7,64,28,32,7,0,0,0,0,0,13,15,12,36,43,49,45,21,74,19,25,63,0,3,377,3064,0.801,199.545,19.92,21.079,0,1,2676,700,1287,217,231,61,0.055867,11533.8,948
33.846,8.038,69.427,5,1.36914,23.06,42.8412,139,268,733,563,71,56,83,218,43,324,47,1517,267,46,506,-66,171,41,11,58,39,27,87,25,1,64,27,27,2,0,0,0,0,0,36,18,8,40,44,42,48,26,110,32,40,81,0,0,1452,4255,7.473,8.524,61.592,3.332,0,0,2617,200,950,92,149,45,0.055867,420.288,948
33.846,8.038,69.427,5,1.36914,23.06,42.8412,139,268,733,563,71,56,83,218,43,324,47,1517,267,46,506,-66,171,41,11,58,39,27,87,25,1,64,27,27,2,0,0,0,0,0,36,18,8,40,44,42,48,26,110,32,40,81,0,0,1452,4255,7.473,8.524,61.592,3.332,0,0,2617,200,950,92,149,45,0.055867,420.288,948
33.846,8.038,69.427,5,1.36914,23.06,42.8412,139,268,733,563,71,56,83,218,43,324,47,1517,267,46,506,-66,171,41,11,58,39,27,87,25,1,64,27,27,2,0,0,0,0,0,36,18,8,40,44,42,48,26,110,32,40,81,0,0,1452,4255,7.473,8.524,61.592,3.332,0,0,2617,200,950,92,149,45,0.055867,420.288,948
33.846,8.038,69.427,5,1.36914,23.06,42.8412,139,268,733,563,71,56,83,218,43,324,47,1517,267,46,506,-66,171,41,11,58,39,27,87,25,1,64,27,27,2,0,0,0,0,0,36,18,8,40,44,42,48,26,110,32,40,81,0,0,1452,4255,7.473,8.524,61.592,3.332,0,0,2617,200,950,92,149,45,0.055867,420.288,948
33.846,8.038,69.427,5,1.36914,23.06,42.8412,139,268,733,563,71,56,83,218,43,324,47,1517,267,46,506,-66,171,41,11,58,39,27,87,25,1,64,27,27,2,0,0,0,0,0,36,18,8,40,44,42,48,26,110,32,40,81,0,0,1452,4255,7.473,8.524,61.592,3.332,0,0,2617,200,950,92,149,45,0.055867,420.288,948
8.573,1.884,17.079,3,0.841697,0.56,12.2196,662,0,265,904,86,0,60,187,39,1156,180,1896,536,82,534,30,182,64,39,87,42,100,92,0,0,0,1,0,0,0,0,0,0,0,27,7,7,42,46,51,46,106,130,77,60,89,0,0,829,2328,0.0,0.0,0.0,0.0,0,0,0,0,0,12,29,21,0.055867,0.0,948
8.573,1.884,17.079,3,0.841697,0.56,12.2196,662,0,265,904,86,0,60,187,39,1156,180,1896,536,82,534,30,182,64,39,87,42,100,92,0,0,0,1,0,0,0,0,0,0,0,27,7,7,42,46,51,46,106,130,77,60,89,0,0,829,2328,0.0,0.0,0.0,0.0,0,0,0,0,0,12,29,21,0.055867,0.0,948
8.573,1.884,17.079,3,0.841697,0.56,12.2196,662,0,265,904,86,0,60,187,39,1156,180,1896,536,82,534,30,182,64,39,87,42,100,92,0,0,0,1,0,0,0,0,0,0,0,27,7,7,42,46,51,46,106,130,77,60,89,0,0,829,2328,0.0,0.0,0.0,0.0,0,0,0,0,0,12,29,21,0.055867,0.0,948
0.843,0.196,1.729,2,0.333333,2.0,1.61,649,0,474,1015,125,310,54,186,37,1245,193,1560,533,81,519,37,180,56,39,87,43,100,97,0,0,0,2,0,0,0,0,0,0,0,0,7,6,43,43,50,51,104,103,79,56,86,0,0,1053,2333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25,23,0.055867,0.0,948
0.843,0.196,1.729,2,0.333333,2.0,1.61,649,0,474,1015,125,310,54,186,37,1245,193,1560,533,81,519,37,180,56,39,87,43,100,97,0,0,0,2,0,0,0,0,0,0,0,0,7,6,43,43,50,51,104,103,79,56,86,0,0,1053,2333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25,23,0.055867,0.0,948
0.843,0.196,1.729,2,0.333333,2.0,1.61,649,0,474,1015,125,310,54,186,37,1245,193,1560,533,81,519,37,180,56,39,87,43,100,97,0,0,0,2,0,0,0,0,0,0,0,0,7,6,43,43,50,51,104,103,79,56,86,0,0,1053,2333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25,23,0.055867,0.0,948
11.51,2.931,20.184,4,0.877464,5.16,14.0955,628,115,744,984,124,97,57,187,36,1177,183,1964,532,81,534,32,181,65,38,85,44,89,98,0,0,0,17,0,0,0,0,0,0,0,75,8,7,45,45,48,48,114,134,78,58,90,0,0,2068,4367,0.0,0.033,0.003,0.063,0,0,0,0,160,55,71,35,0.055867,0.330475,948
11.51,2.931,20.184,4,0.877464,5.16,14.0955,628,115,744,984,124,97,57,187,36,1177,183,1964,532,81,534,32,181,65,38,85,44,89,98,0,0,0,17,0,0,0,0,0,0,0,75,8,7,45,45,48,48,114,134,78,58,90,0,0,2068,4367,0.0,0.033,0.003,0.063,0,0,0,0,160,55,71,35,0.055867,0.330475,948
11.51,2.931,20.184,4,0.877464,5.16,14.0955,628,115,744,984,124,97,57,187,36,1177,183,1964,532,81,534,32,181,65,38,85,44,89,98,0,0,0,17,0,0,0,0,0,0,0,75,8,7,45,45,48,48,114,134,78,58,90,0,0,2068,4367,0.0,0.033,0.003,0.063,0,0,0,0,160,55,71,35,0.055867,0.330475,948
17.22,4.255,29.837,4,0.980312,4.27,20.0218,950,0,414,870,145,40,60,187,34,1390,215,1856,556,84,522,41,180,65,38,88,50,84,81,0,0,0,1,0,0,0,0,0,0,0,51,7,9,43,47,50,44,82,103,80,55,90,0,6,2415,8951,0.001,0.007,0.139,0.018,0,0,24,0,133,19,23,20,0.055867,0.248643,948
17.22,4.255,29.837,4,0.980312,4.27,20.0218,950,0,414,870,145,40,60,187,34,1390,215,1856,556,84,522,41,180,65,38,88,50,84,81,0,0,0,1,0,0,0,0,0,0,0,51,7,9,43,47,50,44,82,103,80,55,90,0,6,2415,8951,0.001,0.007,0.139,0.018,0,0,24,0,133,19,23,20,0.055867,0.248643,948
17.22,4.255,29.837,4,0.980312,4.27,20.0218,950,0,414,870,145,40,60,187,34,1390,215,1856,556,84,522,41,180,65,38,88,50,84,81,0,0,0,1,0,0,0,0,0,0,0,51,7,9,43,47,50,44,82,103,80,55,90,0,6,2415,8951,0.001,0.007,0.139,0.018,0,0,24,0,133,19,23,20,0.055867,0.248643,948
