,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
dor_pc_pva,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
N_percent,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
C_percent,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
soc_th_uav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
soc_th_cav,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
pst_pc_use,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
pst_pc_cse,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
swc_pc_cdi,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
cmi_ix_cdi,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
prm_pc_use,4.035292320588808,6.074104050417679,4.08624546859495,7.876342846848786,5.896461160195653,5.162750345024886,4.70423912100012,7.642568590981736,7.223770231333567,5.417508845881818
