,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
cmi_ix_cdi,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
swc_pc_cdi,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
pre_mm_cdi,0.2677203450345797,0.2036723516727264,0.3819755965994028,0.1633826137588163,0.1697434777910541,0.1313662886596551,0.1140572251758728,0.1310323351982382,0.146239274083375,0.1356538005500735
hft_ix_u09,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
nli_ix_uav,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
urb_pc_use,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
rdd_mk_uav,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
ppd_pk_uav,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
ppd_pk_cav,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
urb_pc_cse,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
rdd_mk_cav,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
hft_ix_c09,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
nli_ix_cav,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
pop_ct_csu,0.2471368420191687,0.1986423435951537,0.2156862634858025,0.1189055504645485,0.1236480199159617,0.1174781495861688,0.0897861703340942,0.1639934760083172,0.2880995118025588,0.2784520227091968
ero_kh_cav,0.0383646581843349,0.0414303407674562,0.0353339420622913,0.0848423145256118,0.0496472574478638,0.0277828889720843,0.0188514118044098,0.0452535272678991,0.030440428251776,0.0299442557206627
ero_kh_uav,0.0383646581843349,0.0414303407674562,0.0353339420622913,0.0848423145256118,0.0496472574478638,0.0277828889720843,0.0188514118044098,0.0452535272678991,0.030440428251776,0.0299442557206627
